Date;Open;High;Low;Close;Change %
01-12-2003;2,946000099182129;2,946000099182129;2,9230000972747803;2,9230000972747803;
02-12-2003;2,9230000972747803;2,930999994277954;2,9230000972747803;2,930999994277954;+0,27%
03-12-2003;2,930999994277954;2,936000108718872;2,9260001182556152;2,930999994277954;+0,00%
04-12-2003;2,930999994277954;2,943000078201294;2,930999994277954;2,943000078201294;+0,41%
05-12-2003;2,943000078201294;2,947999954223633;2,934000015258789;2,934000015258789;-0,31%
08-12-2003;2,934000015258789;2,943000078201294;2,934000015258789;2,940000057220459;+0,20%
09-12-2003;2,940000057220459;2,940000057220459;2,930999994277954;2,933000087738037;-0,24%
10-12-2003;2,933000087738037;2,944000005722046;2,933000087738037;2,941999912261963;+0,31%
11-12-2003;2,941999912261963;2,944999933242798;2,936000108718872;2,936000108718872;-0,20%
12-12-2003;2,936000108718872;2,943000078201294;2,934999942779541;2,934999942779541;-0,03%
15-12-2003;2,934999942779541;2,936000108718872;2,9179999828338623;2,9189999103546143;-0,55%
16-12-2003;2,9189999103546143;2,936000108718872;2,9189999103546143;2,936000108718872;+0,58%
17-12-2003;2,936000108718872;2,943000078201294;2,930000066757202;2,930000066757202;-0,20%
18-12-2003;2,930000066757202;2,936000108718872;2,927999973297119;2,931999921798706;+0,07%
19-12-2003;2,931999921798706;2,931999921798706;2,921999931335449;2,9230000972747803;-0,31%
22-12-2003;2,9230000972747803;2,927999973297119;2,9149999618530273;2,9189999103546143;-0,14%
23-12-2003;2,9189999103546143;2,9230000972747803;2,805000066757202;2,9070000648498535;-0,41%
24-12-2003;2,9070000648498535;2,9079999923706055;2,9059998989105225;2,9070000648498535;+0,00%
25-12-2003;2,9070000648498535;2,9070000648498535;2,9070000648498535;2,9070000648498535;+0,00%
26-12-2003;2,9070000648498535;2,9070000648498535;2,8949999809265137;2,9010000228881836;-0,21%
29-12-2003;2,9010000228881836;2,9010000228881836;2,859999895095825;2,859999895095825;-1,41%
30-12-2003;2,859999895095825;2,9079999923706055;2,859999895095825;2,9010000228881836;+1,43%
31-12-2003;2,9010000228881836;2,9010000228881836;2,9010000228881836;2,9010000228881836;+0,00%
01-01-2004;2,9010000228881836;2,9010000228881836;2,9010000228881836;2,9010000228881836;+0,00%
02-01-2004;2,9010000228881836;2,9010000228881836;2,875999927520752;2,875999927520752;-0,86%
05-01-2004;2,875999927520752;2,875999927520752;2,8529999256134033;2,8529999256134033;-0,80%
06-01-2004;2,8529999256134033;2,865999937057495;2,8399999141693115;2,865999937057495;+0,46%
07-01-2004;2,865999937057495;2,880000114440918;2,8580000400543213;2,8580000400543213;-0,28%
08-01-2004;2,8580000400543213;2,867000102996826;2,8440001010894775;2,8540000915527344;-0,14%
09-01-2004;2,8540000915527344;2,8540000915527344;2,8299999237060547;2,8299999237060547;-0,84%
12-01-2004;2,8299999237060547;2,8329999446868896;2,7880001068115234;2,7899999618530273;-1,41%
13-01-2004;2,7899999618530273;2,812000036239624;2,7739999294281006;2,805000066757202;+0,54%
14-01-2004;2,805000066757202;2,9070000648498535;2,805000066757202;2,818000078201294;+0,46%
15-01-2004;2,818000078201294;2,818000078201294;2,803999900817871;2,812999963760376;-0,18%
16-01-2004;2,812999963760376;2,8269999027252197;2,812999963760376;2,8269999027252197;+0,50%
19-01-2004;2,8269999027252197;2,8469998836517334;2,8269999027252197;2,8380000591278076;+0,39%
20-01-2004;2,8380000591278076;2,8420000076293945;2,8329999446868896;2,8380000591278076;+0,00%
21-01-2004;2,8380000591278076;2,8450000286102295;2,8350000381469727;2,8429999351501465;+0,18%
22-01-2004;2,8429999351501465;2,8429999351501465;2,8359999656677246;2,828000068664551;-0,53%
23-01-2004;2,8369998931884766;2,8450000286102295;2,8369998931884766;2,8399999141693115;+0,42%
26-01-2004;2,8399999141693115;2,8440001010894775;2,828000068664551;2,8440001010894775;+0,14%
27-01-2004;2,8440001010894775;2,86899995803833;2,8440001010894775;2,868000030517578;+0,84%
28-01-2004;2,868000030517578;2,8940000534057617;2,868000030517578;2,8940000534057617;+0,91%
29-01-2004;2,8940000534057617;2,950000047683716;2,8940000534057617;2,930000066757202;+1,24%
30-01-2004;2,930000066757202;2,947999954223633;2,9159998893737793;2,931999921798706;+0,07%
02-02-2004;2,931999921798706;2,9549999237060547;2,931999921798706;2,940999984741211;+0,31%
03-02-2004;2,9179999828338623;2,9179999828338623;2,9019999504089355;2,9159998893737793;-0,85%
04-02-2004;2,9159998893737793;2,9179999828338623;2,9019999504089355;2,9179999828338623;+0,07%
05-02-2004;2,9179999828338623;2,940999984741211;2,9179999828338623;2,930000066757202;+0,41%
06-02-2004;2,930000066757202;2,9579999446868896;2,930000066757202;2,931999921798706;+0,07%
09-02-2004;2,931999921798706;2,940999984741211;2,921999931335449;2,9240000247955322;-0,27%
10-02-2004;2,9240000247955322;2,927999973297119;2,9140000343322754;2,9179999828338623;-0,21%
11-02-2004;2,9179999828338623;2,931999921798706;2,9049999713897705;2,9049999713897705;-0,45%
12-02-2004;2,9049999713897705;2,9100000858306885;2,8949999809265137;2,8949999809265137;-0,34%
13-02-2004;2,8949999809265137;2,9149999618530273;2,8949999809265137;2,9040000438690186;+0,31%
16-02-2004;2,9040000438690186;2,9149999618530273;2,9000000953674316;2,9059998989105225;+0,07%
17-02-2004;2,9059998989105225;2,9200000762939453;2,9010000228881836;2,9159998893737793;+0,34%
18-02-2004;2,9159998893737793;2,944000005722046;2,9130001068115234;2,940000057220459;+0,82%
19-02-2004;2,940000057220459;2,9590001106262207;2,940000057220459;2,9570000171661377;+0,58%
20-02-2004;2,9570000171661377;3,009999990463257;2,9570000171661377;2,9570000171661377;+0,00%
23-02-2004;2,9570000171661377;2,9570000171661377;2,9570000171661377;2,9570000171661377;+0,00%
24-02-2004;2,9570000171661377;2,9570000171661377;2,9570000171661377;2,9570000171661377;+0,00%
25-02-2004;2,9570000171661377;2,9570000171661377;2,9260001182556152;2,938999891281128;-0,61%
26-02-2004;2,938999891281128;2,944000005722046;2,930000066757202;2,930000066757202;-0,31%
27-02-2004;2,930000066757202;2,930000066757202;2,9040000438690186;2,9049999713897705;-0,85%
01-03-2004;2,9049999713897705;2,9049999713897705;2,888000011444092;2,8929998874664307;-0,41%
02-03-2004;2,8929998874664307;2,9159998893737793;2,890000104904175;2,890000104904175;-0,10%
03-03-2004;2,890000104904175;2,890000104904175;2,872999906539917;2,88700008392334;-0,10%
04-03-2004;2,88700008392334;2,8940000534057617;2,880000114440918;2,888000011444092;+0,03%
05-03-2004;2,888000011444092;2,8919999599456787;2,865000009536743;2,865999937057495;-0,76%
08-03-2004;2,865999937057495;2,88100004196167;2,8580000400543213;2,872999906539917;+0,24%
09-03-2004;2,872999906539917;2,88100004196167;2,865999937057495;2,878999948501587;+0,21%
10-03-2004;2,872999906539917;2,9000000953674316;2,865999937057495;2,9000000953674316;+0,73%
11-03-2004;2,9000000953674316;2,921999931335449;2,9000000953674316;2,9070000648498535;+0,24%
12-03-2004;2,9070000648498535;2,9159998893737793;2,8970000743865967;2,8989999294281006;-0,28%
15-03-2004;2,8989999294281006;2,9040000438690186;2,8949999809265137;2,9030001163482666;+0,14%
16-03-2004;2,9030001163482666;2,9030001163482666;2,8959999084472656;2,8970000743865967;-0,21%
17-03-2004;2,8970000743865967;2,9140000343322754;2,8970000743865967;2,9100000858306885;+0,45%
18-03-2004;2,9100000858306885;2,9179999828338623;2,9049999713897705;2,9059998989105225;-0,14%
19-03-2004;2,9059998989105225;2,9059998989105225;2,8929998874664307;2,9000000953674316;-0,21%
22-03-2004;2,9000000953674316;2,9140000343322754;2,9000000953674316;2,9110000133514404;+0,38%
23-03-2004;2,9110000133514404;2,9179999828338623;2,9059998989105225;2,9130001068115234;+0,07%
24-03-2004;2,9130001068115234;2,927999973297119;2,9130001068115234;2,927999973297119;+0,51%
25-03-2004;2,927999973297119;2,937000036239624;2,927999973297119;2,934999942779541;+0,24%
26-03-2004;2,934999942779541;2,944999933242798;2,934999942779541;2,937000036239624;+0,07%
29-03-2004;2,937000036239624;2,937999963760376;2,931999921798706;2,937999963760376;+0,03%
30-03-2004;2,937999963760376;2,937999963760376;2,9070000648498535;2,9070000648498535;-1,06%
31-03-2004;2,9070000648498535;2,9130001068115234;2,8949999809265137;2,8949999809265137;-0,41%
01-04-2004;2,8949999809265137;2,8949999809265137;2,884999990463257;2,8889999389648438;-0,21%
02-04-2004;2,8889999389648438;2,8980000019073486;2,885999917984009;2,8929998874664307;+0,14%
05-04-2004;2,8929998874664307;2,8959999084472656;2,874000072479248;2,875;-0,62%
06-04-2004;2,875;2,875;2,869999885559082;2,874000072479248;-0,03%
07-04-2004;2,874000072479248;2,881999969482422;2,865999937057495;2,869999885559082;-0,14%
08-04-2004;2,869999885559082;2,884000062942505;2,869999885559082;2,884000062942505;+0,49%
09-04-2004;2,884000062942505;2,884000062942505;2,884000062942505;2,884000062942505;+0,00%
12-04-2004;2,884000062942505;2,8910000324249268;2,880000114440918;2,88100004196167;-0,10%
13-04-2004;2,88100004196167;2,8919999599456787;2,88100004196167;2,8910000324249268;+0,35%
14-04-2004;2,8910000324249268;2,8970000743865967;2,885999917984009;2,885999917984009;-0,17%
15-04-2004;2,885999917984009;2,924999952316284;2,885999917984009;2,9170000553131104;+1,07%
16-04-2004;2,9170000553131104;2,9260001182556152;2,9030001163482666;2,9079999923706055;-0,31%
19-04-2004;2,9079999923706055;2,9140000343322754;2,9010000228881836;2,9059998989105225;-0,07%
20-04-2004;2,9170000553131104;2,928999900817871;2,9059998989105225;2,927999973297119;+0,76%
21-04-2004;2,927999973297119;2,927999973297119;2,927999973297119;2,927999973297119;+0,00%
22-04-2004;2,927999973297119;2,940000057220459;2,9230000972747803;2,9260001182556152;-0,07%
